AccountId,AccountName,VATNumber,Industry,City,Province,Region,CustomerTier,CreatedDate
AC00001,Mensa SVZN4R SPA,10000000001,Macelleria,La Spezia,RA,Liguria,Bronze,2024-01-08
AC00002,Hotel EGB1AJ SAS,10000000002,Panificio,Chiavari,GR,Piemonte,Silver,2022-08-24
AC00003,Catering O091C7 Ditta Individuale,10000000003,Bar,Lucca,AO,Piemonte,Bronze,2022-07-02
AC00004,Ristorante 95RLQI SRL,10000000004,Bar,Pisa,SP,Valle d'Aosta,Bronze,2023-12-13
AC00005,Altro OB0NLW Cooperativa,10000000005,Alimentari,Viareggio,CR,Emilia-Romagna,Bronze,2023-03-20
AC00006,Pescheria 0VS52S Cooperativa,10000000006,Gelateria,Ravenna,PO,Piemonte,Platinum,2023-09-15
AC00007,Pescheria Q3B9SO Ditta Individuale,10000000007,Ristorante,Forlì,MS,Lombardia,Gold,2024-10-26
AC00008,Ristorante 0USWBK SRL,10000000008,Pizzeria,Parma,IM,Liguria,Silver,2025-06-13
AC00009,Alimentari OK3QPW SRL,10000000009,Pizzeria,Aosta,CR,Valle d'Aosta,Silver,2025-02-24
AC00010,Altro BSF3Q0 Cooperativa,10000000010,Bar,Chiavari,BS,Toscana,Silver,2025-02-01
AC00011,Pizzeria E27ZEO SPA,10000000011,Pizzeria,Massa,SP,Toscana,Silver,2024-01-19
AC00012,Ristorante QGVZHQ SAS,10000000012,Pescheria,Sanremo,SI,Emilia-Romagna,Silver,2022-06-04
AC00013,Panificio JY62ZE SPA,10000000013,Ristorante,Viareggio,AR,Lombardia,Silver,2022-09-14
AC00014,Pizzeria EQNSN2 Cooperativa,10000000014,Bar,Piacenza,AT,Piemonte,Bronze,2022-08-23
AC00015,Pescheria S8NN16 SAS,10000000015,Catering,Massa,BS,Toscana,Bronze,2023-05-15
AC00016,Mensa UXF5GZ Ditta Individuale,10000000016,Macelleria,Piacenza,GE,Emilia-Romagna,Silver,2022-10-16
AC00017,Ristorante PL1QWE Cooperativa,10000000017,Altro,Alessandria,LI,Liguria,Gold,2023-05-25
AC00018,Catering EHWJQ4 SPA,10000000018,Catering,Milano,SI,Lombardia,Silver,2023-12-10
AC00019,Pizzeria TA5IVR Cooperativa,10000000019,Mensa,Rimini,BG,Lombardia,Gold,2024-02-24
AC00020,Gelateria OCVITW Ditta Individuale,10000000020,Alimentari,Modena,MO,Emilia-Romagna,Platinum,2024-06-12
AC00021,Gelateria U3BFXB SAS,10000000021,Alimentari,Milano,BS,Emilia-Romagna,Bronze,2024-02-15
AC00022,Macelleria 4Y4K7B SRL,10000000022,Bar,Como,RA,Piemonte,Silver,2022-10-25
AC00023,Panificio PGYVYV SAS,10000000023,Bar,Piacenza,MS,Emilia-Romagna,Silver,2022-05-17
AC00024,Macelleria 2GQU7D SRL,10000000024,Bar,Firenze,LU,Piemonte,Platinum,2023-01-11
AC00025,Bar KNNCPT SAS,10000000025,Alimentari,Novara,CO,Piemonte,Platinum,2022-03-28
AC00026,Alimentari KEZJSS Ditta Individuale,10000000026,Ristorante,Arezzo,CN,Valle d'Aosta,Silver,2025-12-13
AC00027,Panificio ZWD0W9 Cooperativa,10000000027,Macelleria,Asti,IM,Lombardia,Bronze,2025-05-07
AC00028,Bar RY79KV SAS,10000000028,Ristorante,Pisa,MO,Liguria,Gold,2023-03-13
AC00029,Catering LS9MEU SRL,10000000029,Bar,Bergamo,FI,Lombardia,Bronze,2025-08-26
AC00030,Ristorante SWRGVZ SPA,10000000030,Alimentari,Parma,NO,Lombardia,Gold,2025-07-28
AC00031,Ristorante 9AAWE4 Ditta Individuale,10000000031,Pizzeria,Varese,SI,Valle d'Aosta,Gold,2025-09-08
AC00032,Mensa 29OMUW SPA,10000000032,Ristorante,Sestri Levante,AO,Piemonte,Silver,2024-02-03
AC00033,Hotel AHK2LS SAS,10000000033,Bar,Torino,FC,Piemonte,Silver,2023-12-03
AC00034,Bar LAYM0W SRL,10000000034,Altro,Monza,RN,Emilia-Romagna,Silver,2024-07-30
AC00035,Hotel BGLMY6 SAS,10000000035,Bar,Sanremo,CN,Valle d'Aosta,Silver,2022-06-01
AC00036,Altro 2XRW6T SAS,10000000036,Bar,Aosta,SV,Emilia-Romagna,Bronze,2025-08-18
AC00037,Pizzeria M2O04K SAS,10000000037,Panificio,Chiavari,BS,Valle d'Aosta,Gold,2025-07-25
AC00038,Pescheria 0LTHY2 SPA,10000000038,Ristorante,Como,PI,Emilia-Romagna,Platinum,2024-10-28
AC00039,Pizzeria 5M8KB9 Ditta Individuale,10000000039,Catering,Massa,AO,Toscana,Platinum,2024-03-17
AC00040,Pescheria W4UOV5 SRL,10000000040,Hotel,Massa,RE,Lombardia,Bronze,2022-08-23
AC00041,Pizzeria 1ZLBOR Ditta Individuale,10000000041,Bar,Savona,CR,Lombardia,Gold,2023-11-06
AC00042,Altro IQ8HKE SPA,10000000042,Bar,Grosseto,MB,Liguria,Gold,2023-07-15
AC00043,Catering 226PAR SPA,10000000043,Ristorante,La Spezia,RA,Piemonte,Bronze,2025-08-18
AC00044,Bar SG70S1 Cooperativa,10000000044,Bar,Sanremo,IM,Liguria,Bronze,2022-02-07
AC00045,Bar F537YE SPA,10000000045,Ristorante,Genova,BO,Toscana,Bronze,2025-03-05
AC00046,Pizzeria 0QZSA7 SPA,10000000046,Gelateria,Siena,MO,Liguria,Gold,2024-04-01
AC00047,Macelleria YVDQBS SRL,10000000047,Hotel,Reggio Emilia,RE,Lombardia,Silver,2023-02-25
AC00048,Ristorante XLUL6L SRL,10000000048,Catering,Torino,PC,Piemonte,Gold,2025-05-27
AC00049,Pescheria GJLPEF Ditta Individuale,10000000049,Macelleria,Pisa,IM,Toscana,Bronze,2022-12-14
AC00050,Pescheria JAWSHM Ditta Individuale,10000000050,Pizzeria,Viareggio,CN,Lombardia,Gold,2025-01-07
AC00051,Bar LFZKIC Cooperativa,10000000051,Ristorante,Sestri Levante,PC,Emilia-Romagna,Bronze,2024-01-18
AC00052,Catering WMPEQY SRL,10000000052,Pescheria,Pavia,SV,Valle d'Aosta,Silver,2022-09-30
AC00053,Hotel DBPGVV SAS,10000000053,Bar,Livorno,SI,Toscana,Silver,2025-03-30
AC00054,Panificio 4ZWL3Z SAS,10000000054,Ristorante,Forlì,PC,Piemonte,Bronze,2022-11-04
AC00055,Alimentari YT91QE SPA,10000000055,Mensa,Siena,PR,Liguria,Gold,2025-10-29
AC00056,Pizzeria 37QQYZ SPA,10000000056,Alimentari,Massa,TO,Liguria,Bronze,2024-09-02
AC00057,Alimentari QII4W6 SPA,10000000057,Catering,La Spezia,CN,Toscana,Silver,2024-01-03
AC00058,Gelateria OZX25Q Ditta Individuale,10000000058,Bar,Piacenza,CN,Piemonte,Silver,2024-10-29
AC00059,Bar BRMQG1 SRL,10000000059,Alimentari,Piacenza,LU,Toscana,Silver,2023-03-20
AC00060,Altro VED32L SRL,10000000060,Bar,Firenze,BO,Piemonte,Bronze,2025-02-10
AC00061,Ristorante X2TOOW Cooperativa,10000000061,Macelleria,Siena,CO,Liguria,Bronze,2025-05-13
AC00062,Catering T9NM3V SRL,10000000062,Bar,Piacenza,CO,Lombardia,Gold,2023-02-09
AC00063,Panificio 2P2TIX Ditta Individuale,10000000063,Panificio,Carrara,AT,Emilia-Romagna,Bronze,2024-05-02
AC00064,Hotel C7URVQ SRL,10000000064,Alimentari,Pisa,PO,Lombardia,Gold,2025-05-05
