ContactId,Category,NetAmount
CT000001,Bevande,1243.1399999999999
CT000001,Carni,34.46
CT000001,Dispensa,318.06
CT000001,Latticini,578.11
CT000001,Ortofrutta,619.03
CT000001,Pesce,329.99
CT000001,Surgelati,389.27
CT000001,Vino,1546.42
CT000002,Bevande,563.0
CT000002,Carni,272.56
CT000002,Latticini,281.31
CT000002,Ortofrutta,772.74
CT000002,Pesce,1184.29
CT000002,Surgelati,291.56
CT000002,Vino,99.05
CT000004,Bevande,84.01
CT000004,Carni,256.94000000000005
CT000004,Dispensa,1244.27
CT000004,Latticini,113.91
CT000004,Ortofrutta,556.35
CT000004,Pesce,779.15
CT000004,Vino,1262.6299999999999
CT000005,Bevande,37.78
CT000005,Carni,163.15
CT000005,Latticini,621.7
CT000005,Surgelati,34.51
CT000005,Vino,546.69
CT000006,Dispensa,336.59
CT000006,Latticini,825.63
CT000006,Ortofrutta,711.0699999999999
CT000006,Pesce,66.56
CT000006,Surgelati,201.64999999999998
CT000006,Vino,18.78
CT000007,Bevande,426.2
CT000007,Carni,494.67
CT000007,Dispensa,575.92
CT000007,Latticini,794.71
CT000007,Ortofrutta,569.74
CT000007,Pesce,727.21
CT000007,Surgelati,897.78
CT000007,Vino,2179.9500000000003
CT000008,Bevande,289.3
CT000008,Carni,538.06
CT000008,Dispensa,740.35
CT000008,Latticini,1571.21
CT000008,Ortofrutta,675.52
CT000008,Pesce,588.88
CT000008,Vino,753.63
CT000009,Bevande,208.86
CT000009,Carni,371.88
CT000009,Dispensa,112.52000000000001
CT000009,Pesce,161.79
CT000010,Bevande,129.86
CT000010,Carni,1080.9
CT000010,Latticini,78.72
CT000010,Ortofrutta,551.63
CT000010,Pesce,706.79
CT000010,Surgelati,859.01
CT000010,Vino,635.1800000000001
CT000011,Bevande,814.14
CT000011,Carni,1286.8
CT000011,Dispensa,1130.17
CT000011,Latticini,382.01
CT000011,Ortofrutta,144.22
CT000011,Pesce,666.42
CT000011,Surgelati,539.0
CT000011,Vino,813.7
CT000012,Latticini,113.91
CT000012,Ortofrutta,51.97
CT000012,Vino,30.13
CT000013,Bevande,299.02
CT000013,Carni,1480.17
CT000013,Dispensa,86.22
CT000013,Latticini,483.45
CT000013,Ortofrutta,860.25
CT000013,Surgelati,94.68
CT000013,Vino,805.3299999999999
CT000014,Bevande,600.29
CT000014,Carni,546.18
CT000014,Dispensa,271.03000000000003
CT000014,Latticini,642.74
CT000014,Pesce,526.51
CT000014,Surgelati,276.13
CT000014,Vino,63.67
CT000015,Carni,408.46
CT000015,Ortofrutta,32.82
CT000015,Pesce,141.02
CT000015,Vino,91.43
CT000016,Bevande,87.56
CT000016,Carni,40.31
CT000016,Ortofrutta,291.17
CT000016,Pesce,91.82
CT000017,Bevande,289.53
CT000017,Carni,395.07
CT000017,Latticini,51.58
CT000017,Ortofrutta,322.01
CT000017,Vino,10.84
CT000018,Bevande,1224.15
CT000018,Carni,516.29
CT000018,Dispensa,596.51
CT000018,Latticini,93.35
