TransactionId,CustomerId,AccountId,StoreId,TransactionDateTime,PaymentMethod,Currency,DiscountEUR,TotalNetAmountEUR,Year,Month,Day
TR00000001,CU000285,AC00281,ST037,2025-05-22 21:00:00,Cash,EUR,14.18,225.19,2025,5,22
TR00000002,CU000099,AC00193,ST011,2025-04-29 05:00:00,Cash,EUR,12.6,465.22,2025,4,29
TR00000003,CU000204,AC00339,ST008,2024-12-13 02:00:00,Card,EUR,3.38,412.13,2024,12,13
TR00000004,CU000021,AC00343,ST004,2025-08-26 19:00:00,Card,EUR,0.0,767.37,2025,8,26
TR00000005,CU000225,AC00330,ST028,2024-08-19 02:00:00,Card,EUR,22.71,260.13,2024,8,19
TR00000006,CU000433,AC00321,ST027,2024-11-21 08:00:00,Card,EUR,8.51,1813.93,2024,11,21
TR00000007,CU000022,AC00441,ST011,2025-07-19 00:00:00,BankTransfer,EUR,16.18,42.84,2025,7,19
TR00000008,CU000003,AC00205,ST004,2025-06-17 11:00:00,Invoice,EUR,1.37,585.5,2025,6,17
TR00000009,CU000006,AC00032,ST023,2024-02-21 01:00:00,Card,EUR,8.09,399.04,2024,2,21
TR00000010,CU000202,AC00106,ST011,2024-06-15 12:00:00,Card,EUR,7.49,357.76,2024,6,15
TR00000011,CU000345,AC00191,ST013,2025-02-07 18:00:00,BankTransfer,EUR,0.0,498.31,2025,2,7
TR00000012,CU000406,AC00378,ST013,2025-05-03 04:00:00,Card,EUR,4.79,118.86,2025,5,3
TR00000013,CU000099,AC00193,ST001,2024-09-10 12:00:00,Card,EUR,0.0,27.73,2024,9,10
TR00000014,CU000330,AC00105,ST003,2024-06-17 17:00:00,Cash,EUR,0.0,146.61,2024,6,17
TR00000015,CU000335,AC00313,ST012,2026-01-04 16:00:00,Card,EUR,9.47,203.34,2026,1,4
TR00000016,CU000277,AC00393,ST016,2025-02-27 10:00:00,Cash,EUR,2.63,909.0,2025,2,27
TR00000017,CU000241,AC00429,ST036,2025-03-16 13:00:00,Card,EUR,19.87,676.53,2025,3,16
TR00000018,CU000002,AC00372,ST023,2025-08-21 19:00:00,Card,EUR,10.23,675.98,2025,8,21
TR00000019,CU000166,AC00420,ST027,2025-02-21 11:00:00,Invoice,EUR,8.94,606.09,2025,2,21
TR00000020,CU000176,AC00242,ST037,2024-07-05 22:00:00,Card,EUR,0.0,1153.82,2024,7,5
TR00000021,CU000064,AC00170,ST004,2025-04-13 01:00:00,Card,EUR,0.0,974.43,2025,4,13
TR00000022,CU000462,AC00290,ST026,2025-04-28 20:00:00,Cash,EUR,2.12,178.28,2025,4,28
TR00000023,CU000443,AC00069,ST011,2024-12-08 21:00:00,Cash,EUR,5.45,49.14,2024,12,8
TR00000024,CU000469,AC00410,ST028,2024-07-31 20:00:00,Invoice,EUR,5.47,180.97,2024,7,31
TR00000025,CU000250,AC00533,ST015,2024-08-30 23:00:00,BankTransfer,EUR,0.0,464.02,2024,8,30
TR00000026,CU000182,AC00298,ST036,2025-04-26 17:00:00,Card,EUR,27.21,129.42,2025,4,26
TR00000027,CU000212,AC00019,ST033,2025-02-15 04:00:00,Card,EUR,0.0,0.0,2025,2,15
