TransactionLineId,TransactionId,ProductId,Quantity,UnitPriceEUR,LineDiscountPct,NetAmountEUR
TL000000001,TR00000887,PR00538,0.5,9.38,0.1244,4.11
TL000000002,TR00001343,PR00072,6.0,66.3,0.0768,367.26
TL000000003,TR00000170,PR00245,1.58,10.01,0.0646,14.8
TL000000004,TR00000067,PR00418,0.5,10.83,0.0989,4.88
TL000000005,TR00000306,PR00229,11.27,101.86,0.1296,999.16
TL000000006,TR00000302,PR00130,2.0,84.54,0.0259,164.7
TL000000007,TR00000805,PR00520,2.79,95.92,0.0262,260.61
TL000000008,TR00001056,PR00351,1.0,26.9,0.0443,25.71
TL000000009,TR00000920,PR00196,2.0,26.22,0.0245,51.16
TL000000010,TR00001074,PR00563,1.0,52.1,0.079,47.98
TL000000011,TR00000090,PR00291,1.93,88.18,0.0741,157.58
TL000000012,TR00001213,PR00321,3.0,69.12,0.0481,197.39
TL000000013,TR00000191,PR00504,0.5,11.83,0.0526,5.6
TL000000014,TR00001034,PR00218,2.0,84.47,0.0738,156.47
TL000000015,TR00000876,PR00025,3.0,35.43,0.025,103.62
TL000000016,TR00000363,PR00356,5.0,64.41,0.0884,293.59
TL000000017,TR00000982,PR00265,5.19,35.4,0.0858,167.97
TL000000018,TR00000094,PR00060,4.0,113.06,0.028,439.55
TL000000019,TR00000202,PR00182,11.62,77.43,0.1163,795.13
TL000000020,TR00000315,PR00012,6.0,28.54,0.0787,157.74
TL000000021,TR00001254,PR00188,10.0,61.56,0.0934,558.12
TL000000022,TR00001304,PR00519,8.0,30.56,0.0101,242.05
TL000000023,TR00001257,PR00345,3.46,91.21,0.0531,298.82
TL000000024,TR00000664,PR00364,9.82,73.86,0.0045,722.03
TL000000025,TR00000569,PR00195,2.06,32.61,0.0189,65.91
TL000000026,TR00000532,PR00446,10.0,9.67,0.0542,91.47
TL000000027,TR00001284,PR00269,7.0,91.32,0.0991,575.89
TL000000028,TR00001393,PR00457,3.0,58.4,0.0798,161.23
TL000000029,TR00000781,PR00417,5.0,64.48,0.1415,276.8
TL000000030,TR00001050,PR00419,2.0,22.49,0.0436,43.01
TL000000031,TR00001032,PR00533,10.0,38.13,0.071,354.22
TL000000032,TR00000407,PR00019,1.0,76.09,0.0326,73.62
TL000000033,TR00000447,PR00478,0.83,48.82,0.1139,35.9
TL000000034,TR00001354,PR00047,12.0,75.11,0.0127,889.94
TL000000035,TR00000042,PR00574,2.0,49.74,0.0904,90.49
TL000000036,TR00001275,PR00495,3.0,32.19,0.09,87.87
TL000000037,TR00000716,PR00238,6.06,61.82,0.1055,335.11
TL000000038,TR00000775,PR00124,2.86,59.91,0.1261,149.73
TL000000039,TR00000446,PR00259,0.8,51.86,0.0269,40.37
TL000000040,TR00000181,PR00230,1.0,55.06,0.1066,49.19
TL000000041,TR00000685,PR00006,5.0,62.01,0.0242,302.56
TL000000042,TR00001133,PR00488,3.0,25.93,0.0371,74.91
TL000000043,TR00000649,PR00484,2.14,59.29,0.0071,125.97
TL000000044,TR00001216,PR00444,6.34,54.99,0.1201,306.78
TL000000045,TR00001140,PR00568,2.79,69.22,0.0909,175.56
TL000000046,TR00000547,PR00031,3.0,62.64,0.1109,167.09
TL000000047,TR00000340,PR00078,0.64,61.56,0.0482,37.5
TL000000048,TR00000097,PR00102,1.28,89.43,0.0389,110.01
TL000000049,TR00000122,PR00148,3.0,64.97,0.0658,182.1
TL000000050,TR00000061,PR00041,2.36,23.48,0.0939,50.21
TL000000051,TR00000128,PR00506,2.0,53.28,0.0887,97.12
TL000000052,TR00000774,PR00458,3.0,93.3,0.1231,245.44
TL000000053,TR00001290,PR00557,6.01,48.65,0.0157,287.79
TL000000054,TR00001066,PR00356,2.0,72.19,0.0423,138.27
TL000000055,TR00001205,PR00385,2.68,76.59,0.0347,198.15
TL000000056,TR00000391,PR00272,2.84,22.96,0.0661,60.9
TL000000057,TR00000779,PR00234,2.0,27.15,0.0893,49.44
TL000000058,TR00001328,PR00481,4.52,33.63,0.1478,129.54
TL000000059,TR00000731,PR00186,5.0,70.17,0.0421,336.06
TL000000060,TR00001257,PR00131,1.46,88.54,0.0402,124.07
