TransactionId,TransactionDateTime,StoreId,Currency,PaymentMethod,DiscountEUR,CustomerId,AccountId,ContactId,AnonymousShopperId,TotalNetAmountEUR,Year,Month,Day
TR00000001,2024-09-18 13:00:00,ST007,EUR,Cash,20.55,,,,AN000549,223.44,2024,9,18
TR00000002,2024-03-28 14:00:00,ST033,EUR,Invoice,0.0,CU000316,AC00111,,,86.3,2024,3,28
TR00000003,2025-08-08 10:00:00,ST027,EUR,Card,13.39,CU000222,AC00463,,,522.26,2025,8,8
TR00000004,2025-12-21 17:00:00,ST029,EUR,Cash,11.2,CU000122,AC00507,,,304.73,2025,12,21
TR00000005,2024-07-19 09:00:00,ST006,EUR,Invoice,7.57,,,,AN000508,0.0,2024,7,19
TR00000006,2024-02-26 20:00:00,ST002,EUR,Card,6.85,,,,AN000152,210.86,2024,2,26
TR00000007,2025-11-02 23:00:00,ST023,EUR,Cash,2.63,CU000411,AC00136,,,97.18,2025,11,2
TR00000008,2024-06-13 09:00:00,ST002,EUR,Card,10.86,CU000030,AC00005,,,0.0,2024,6,13
TR00000009,2025-10-16 18:00:00,ST029,EUR,Card,2.45,CU000229,AC00543,CO000971,,588.68,2025,10,16
TR00000010,2025-11-02 09:00:00,ST013,EUR,Cash,0.0,,,,AN000302,273.74,2025,11,2
TR00000011,2025-10-01 00:00:00,ST015,EUR,Card,0.0,CU000420,AC00101,CO000047,,521.93,2025,10,1
TR00000012,2025-03-26 02:00:00,ST034,EUR,Card,3.39,CU000262,AC00234,,,765.35,2025,3,26
TR00000013,2024-05-24 19:00:00,ST015,EUR,Card,0.0,CU000505,AC00460,CO000643,,148.99,2024,5,24
TR00000014,2025-06-01 06:00:00,ST027,EUR,Card,15.79,,,,AN000683,1283.94,2025,6,1
TR00000015,2025-08-05 11:00:00,ST027,EUR,Card,24.95,,,,AN000506,214.64,2025,8,5
TR00000016,2024-01-02 16:00:00,ST003,EUR,Invoice,8.4,CU000333,AC00354,,,940.23,2024,1,2
TR00000017,2025-01-07 12:00:00,ST022,EUR,Card,7.54,,,,AN000706,709.09,2025,1,7
TR00000018,2024-02-11 04:00:00,ST036,EUR,Card,12.99,,,,AN000708,0.0,2024,2,11
TR00000019,2025-05-10 03:00:00,ST032,EUR,Card,0.0,,,,AN000231,1407.45,2025,5,10
TR00000020,2025-06-02 21:00:00,ST039,EUR,Card,0.0,CU000026,AC00343,CO000232,,304.48,2025,6,2
TR00000021,2025-06-09 09:00:00,ST009,EUR,Card,0.17,,,,AN000639,512.48,2025,6,9
TR00000022,2025-05-12 12:00:00,ST006,EUR,Card,11.8,,,,AN000606,42.77,2025,5,12
TR00000023,2024-06-26 22:00:00,ST039,EUR,Card,0.0,CU000236,AC00412,,,1630.08,2024,6,26
TR00000024,2024-08-19 18:00:00,ST022,EUR,Card,3.61,CU000369,AC00347,,,3.66,2024,8,19
TR00000025,2025-03-20 06:00:00,ST038,EUR,Invoice,0.0,CU000027,AC00114,,,463.93,2025,3,20
TR00000026,2024-07-22 17:00:00,ST039,EUR,Card,13.32,CU000419,AC00495,CO000058,,92.88,2024,7,22
TR00000027,2025-09-14 13:00:00,ST031,EUR,Card,9.41,,,,AN000760,832.63,2025,9,14
