ProductId,ProductName,Category,ListPrice,Brand,SubCategory,PriceRange,IsPrivateLabel,MarginBand,IsStrategic
P00001,Prodotto 1,Bevande,55.47,MarcaC,Acqua,Premium,No,Low,Yes
P00002,Prodotto 2,Dispensa,54.33,BioZ,Olio,Premium,No,Low,No
P00003,Prodotto 3,Bevande,49.5,BioZ,Succhi,Premium,No,Medium,No
P00004,Prodotto 4,Pesce,114.05,PremiumX,Fresco,Ultra,Yes,Medium,No
P00005,Prodotto 5,Carni,86.22,EconomyY,Bovino,Ultra,No,Low,Yes
P00006,Prodotto 6,Dispensa,108.4,MarcaC,Spezie,Ultra,Yes,Medium,No
P00007,Prodotto 7,Ortofrutta,115.87,PremiumX,Frutta,Ultra,No,Low,Yes
P00008,Prodotto 8,Bevande,86.53,MarcaC,Bibite,Ultra,No,Medium,Yes
P00009,Prodotto 9,Vino,56.03,MarcaB,Rosé,Premium,Yes,Low,No
P00010,Prodotto 10,Ortofrutta,88.04,EconomyY,Frutta,Ultra,No,High,No
P00011,Prodotto 11,Surgelati,44.82,BioZ,Verdure,Premium,No,High,No
P00012,Prodotto 12,Vino,63.31,EconomyY,Bianco,Ultra,No,Low,No
P00013,Prodotto 13,Pesce,52.11,MarcaC,Surgelato,Premium,No,Low,No
P00014,Prodotto 14,Pesce,41.45,BioZ,Fresco,Premium,No,Low,No
P00015,Prodotto 15,Dispensa,108.68,MarcaC,Pasta,Ultra,Yes,Low,Yes
P00016,Prodotto 16,Bevande,7.01,MarcaC,Acqua,Low,No,Medium,No
P00017,Prodotto 17,Bevande,93.07,MarcaB,Succhi,Ultra,No,Low,No
P00018,Prodotto 18,Pesce,60.98,MarcaC,Fresco,Ultra,No,Medium,No
P00019,Prodotto 19,Bevande,50.71,EconomyY,Birra,Premium,Yes,Low,No
P00020,Prodotto 20,Bevande,1.92,MarcaA,Succhi,Low,No,Low,No
P00021,Prodotto 21,Surgelati,33.56,MarcaA,Verdure,Premium,No,Low,No
P00022,Prodotto 22,Vino,119.94,MarcaA,Rosé,Ultra,No,Low,No
P00023,Prodotto 23,Ortofrutta,78.2,MarcaB,IV Gamma,Ultra,No,Medium,No
P00024,Prodotto 24,Vino,93.07,MarcaC,Rosso,Ultra,Yes,High,No
P00025,Prodotto 25,Bevande,112.48,MarcaB,Birra,Ultra,No,High,No
P00026,Prodotto 26,Carni,75.7,EconomyY,Suino,Ultra,No,Low,No
P00027,Prodotto 27,Vino,87.54,MarcaC,Rosé,Ultra,No,Low,No
P00028,Prodotto 28,Dispensa,77.04,MarcaA,Spezie,Ultra,No,Medium,No
P00029,Prodotto 29,Latticini,105.64,PremiumX,Formaggi,Ultra,No,Medium,Yes
P00030,Prodotto 30,Vino,36.66,EconomyY,Rosso,Premium,No,High,Yes
P00031,Prodotto 31,Ortofrutta,53.73,PremiumX,Verdura,Premium,No,Medium,No
P00032,Prodotto 32,Vino,64.78,MarcaA,Spumante,Ultra,Yes,High,No
P00033,Prodotto 33,Latticini,15.99,EconomyY,Yogurt,Medium,No,Low,Yes
P00034,Prodotto 34,Pesce,78.95,MarcaB,Surgelato,Ultra,No,Low,Yes
P00035,Prodotto 35,Bevande,107.64,MarcaB,Acqua,Ultra,No,Medium,No
P00036,Prodotto 36,Bevande,48.2,PremiumX,Bibite,Premium,No,Low,No
P00037,Prodotto 37,Bevande,96.38,BioZ,Bibite,Ultra,No,High,No
P00038,Prodotto 38,Bevande,13.94,MarcaB,Birra,Medium,Yes,High,No
P00039,Prodotto 39,Vino,28.97,EconomyY,Rosé,Medium,No,Medium,Yes
P00040,Prodotto 40,Bevande,61.42,EconomyY,Acqua,Ultra,No,Medium,No
P00041,Prodotto 41,Bevande,11.62,BioZ,Acqua,Medium,No,High,No
P00042,Prodotto 42,Carni,61.5,MarcaC,Bovino,Ultra,No,Medium,No
P00043,Prodotto 43,Vino,56.0,MarcaC,Rosso,Premium,No,Low,No
P00044,Prodotto 44,Surgelati,110.32,MarcaA,Dolci,Ultra,No,Medium,Yes
P00045,Prodotto 45,Pesce,70.1,EconomyY,Surgelato,Ultra,No,Medium,Yes
P00046,Prodotto 46,Latticini,79.02,EconomyY,Latte,Ultra,No,Medium,Yes
P00047,Prodotto 47,Dispensa,22.67,BioZ,Pasta,Medium,No,Low,No
P00048,Prodotto 48,Carni,37.84,EconomyY,Pollame,Premium,No,Low,No
P00049,Prodotto 49,Vino,103.11,MarcaC,Bianco,Ultra,No,Low,No
P00050,Prodotto 50,Bevande,8.22,PremiumX,Birra,Low,No,Medium,No
P00051,Prodotto 51,Dispensa,67.08,MarcaC,Olio,Ultra,Yes,Low,No
P00052,Prodotto 52,Carni,94.64,PremiumX,Pollame,Ultra,No,Low,Yes
P00053,Prodotto 53,Carni,71.09,BioZ,Bovino,Ultra,No,Medium,No
P00054,Prodotto 54,Ortofrutta,57.36,MarcaC,IV Gamma,Premium,No,Medium,No
P00055,Prodotto 55,Surgelati,6.8,PremiumX,Dolci,Low,No,High,No
P00056,Prodotto 56,Carni,101.61,PremiumX,Suino,Ultra,No,Medium,Yes
P00057,Prodotto 57,Latticini,118.41,BioZ,Latte,Ultra,No,Medium,No
P00058,Prodotto 58,Pesce,31.09,BioZ,Conservato,Premium,Yes,Low,No
