ContactId,Amount
CT00001,674.78
CT00002,735.92
CT00003,430.69
CT00004,212.56
CT00005,769.44
CT00006,599.71
CT00007,273.55
CT00008,486.89000000000004
CT00009,691.0400000000001
CT00010,243.09
CT00011,952.96
CT00012,703.3
CT00013,494.21999999999997
CT00014,759.14
CT00015,194.46
CT00016,130.16
CT00017,127.81
CT00018,625.2
CT00019,158.73000000000002
CT00020,255.45
CT00021,851.4
CT00022,398.91
CT00023,437.39
CT00024,384.56
CT00025,1026.6100000000001
CT00026,414.02000000000004
CT00027,436.3
CT00028,720.35
CT00029,328.93
CT00030,396.29999999999995
CT00031,609.64
CT00032,823.92
CT00033,772.2
CT00034,720.8
CT00035,473.49
CT00036,811.29
CT00037,727.3499999999999
CT00038,872.7
CT00039,214.27999999999997
CT00040,704.13
CT00041,388.61
CT00042,125.69
CT00043,598.94
CT00044,294.38
CT00045,535.37
CT00046,1097.3700000000001
CT00047,770.0
CT00048,53.84
CT00049,314.18
CT00050,520.55
CT00051,959.88
CT00052,122.16999999999999
CT00053,532.13
CT00054,515.86
CT00055,461.01
CT00056,70.53999999999999
CT00057,98.55
CT00058,86.82
CT00059,296.40999999999997
CT00060,972.1800000000001
CT00061,214.14
CT00062,169.09
CT00063,1164.11
CT00064,215.51
CT00065,324.95
CT00067,365.53
CT00068,567.8299999999999
CT00069,531.73
CT00070,87.74
CT00071,260.59
CT00072,219.05
CT00073,840.9300000000001
CT00075,510.61
CT00076,167.32
CT00077,391.34000000000003
CT00078,581.72
CT00079,49.019999999999996
CT00080,457.13
CT00081,65.15
CT00083,569.4300000000001
CT00084,879.55
CT00085,280.92
CT00086,610.52
CT00087,386.04999999999995
CT00088,393.41
CT00089,480.01000000000005
CT00090,349.6
CT00092,422.78999999999996
CT00093,66.12
CT00094,343.79
CT00095,984.74
CT00096,499.14
CT00097,1337.51
CT00098,303.66999999999996
CT00099,623.97
CT00100,557.3
CT00101,289.7
CT00103,276.24
CT00104,555.29
CT00105,252.35
CT00106,654.89
CT00108,722.66
CT00110,817.4000000000001
CT00111,329.02
CT00112,298.06
CT00113,115.78
CT00114,77.18
CT00115,135.37
CT00116,761.16
CT00117,892.94
CT00118,169.0
CT00119,376.97
CT00120,664.6400000000001
CT00121,534.86
CT00122,543.49
CT00123,877.5400000000001
CT00124,636.64
CT00125,393.24
CT00126,673.15
CT00127,329.53999999999996
CT00128,655.07
CT00129,88.3
CT00130,662.9
CT00131,659.02
CT00132,671.4499999999999
CT00133,311.18
