Date,Amount
2025-01-01,3509.17
2025-01-02,4657.17
2025-01-03,4663.77
2025-01-04,3841.12
2025-01-05,3106.17
2025-01-06,2975.94
2025-01-07,4843.05
2025-01-08,4278.52
2025-01-09,3489.56
2025-01-10,5857.43
2025-01-11,3690.87
2025-01-12,4193.54
2025-01-13,3319.5299999999997
2025-01-14,3020.83
2025-01-15,2947.61
2025-01-16,5461.21
2025-01-17,4458.12
2025-01-18,3874.35
2025-01-19,4238.62
2025-01-20,3782.93
2025-01-21,6060.28
2025-01-22,5481.73
2025-01-23,2404.33
2025-01-24,2915.79
2025-01-25,4332.7
2025-01-26,3848.0
2025-01-27,5646.39
2025-01-28,3019.7200000000003
2025-01-29,4436.5
2025-01-30,2470.83
2025-01-31,5219.68
2025-02-01,3363.4
2025-02-02,3294.21
2025-02-03,5615.969999999999
2025-02-04,3147.32
2025-02-05,5837.45
2025-02-06,4723.1
2025-02-07,3881.36
2025-02-08,6996.39
2025-02-09,4011.17
2025-02-10,4329.57
2025-02-11,4589.85
2025-02-12,4999.58
2025-02-13,5322.1
2025-02-14,3571.12
2025-02-15,5234.71
2025-02-16,4788.89
2025-02-17,4872.68
2025-02-18,3226.48
2025-02-19,5621.83
2025-02-20,4421.64
2025-02-21,3317.31
2025-02-22,2999.93
2025-02-23,4517.12
2025-02-24,4224.91
2025-02-25,3677.91
2025-02-26,6201.2699999999995
2025-02-27,3319.54
2025-02-28,3514.52
2025-03-01,5763.8
2025-03-02,5889.81
2025-03-03,4977.03
2025-03-04,4123.81
2025-03-05,4935.87
2025-03-06,4685.64
2025-03-07,4252.32
2025-03-08,2776.76
2025-03-09,5554.56
2025-03-10,4978.79
2025-03-11,5312.53
2025-03-12,2914.2
2025-03-13,5694.24
2025-03-14,5060.21
2025-03-15,3191.42
2025-03-16,3478.69
2025-03-17,3422.11
2025-03-18,3832.66
2025-03-19,3183.95
2025-03-20,3447.71
2025-03-21,3109.47
2025-03-22,4401.24
2025-03-23,4977.61
2025-03-24,5119.12
2025-03-25,3171.59
2025-03-26,5754.13
2025-03-27,6134.69
2025-03-28,4707.35
2025-03-29,5614.55
2025-03-30,3277.18
2025-03-31,2573.16
2025-04-01,5451.62
2025-04-02,5020.84
2025-04-03,5801.01
2025-04-04,2265.96
2025-04-05,3453.71
2025-04-06,3173.69
2025-04-07,4843.47
2025-04-08,4767.96
2025-04-09,3657.03
2025-04-10,4128.55
2025-04-11,3517.68
2025-04-12,4739.37
2025-04-13,3761.18
2025-04-14,3325.67
2025-04-15,4492.82
2025-04-16,5508.44
2025-04-17,6248.19
2025-04-18,4459.51
2025-04-19,4991.62
2025-04-20,5571.45
2025-04-21,3036.41
2025-04-22,3707.08
2025-04-23,4127.9800000000005
2025-04-24,5121.17
2025-04-25,4348.08
2025-04-26,3698.91
2025-04-27,5961.47
2025-04-28,5486.96
2025-04-29,3422.88
2025-04-30,4582.53
2025-05-01,3799.8599999999997
2025-05-02,2860.79
2025-05-03,4129.32
2025-05-04,3913.24
2025-05-05,5362.82
2025-05-06,4180.5
2025-05-07,5329.6
2025-05-08,2891.12
2025-05-09,5983.95
2025-05-10,3000.77
2025-05-11,3182.99
2025-05-12,5406.34
2025-05-13,3520.61
2025-05-14,4624.11
2025-05-15,5671.9
2025-05-16,3162.24
2025-05-17,3214.38
2025-05-18,3429.07
2025-05-19,4392.04
2025-05-20,4222.84
2025-05-21,4391.31
2025-05-22,4731.7699999999995
2025-05-23,3186.25
2025-05-24,4122.29
2025-05-25,4719.43
2025-05-26,3692.0
2025-05-27,3425.91
2025-05-28,7280.05
2025-05-29,6138.01
2025-05-30,3292.75
2025-05-31,4131.58
2025-06-01,3113.97
2025-06-02,4518.36
2025-06-03,3676.88
2025-06-04,4407.06
2025-06-05,4579.07
2025-06-06,4702.650000000001
2025-06-07,3088.72
2025-06-08,4161.28
2025-06-09,4606.03
2025-06-10,3823.82
2025-06-11,5700.75
2025-06-12,3976.88
2025-06-13,4524.01
2025-06-14,3244.46
2025-06-15,3318.55
2025-06-16,3886.05
2025-06-17,5255.12
2025-06-18,4535.09
2025-06-19,4119.34
2025-06-20,3321.27
2025-06-21,4193.72
2025-06-22,4636.45
2025-06-23,5343.88
2025-06-24,5375.91
2025-06-25,4662.01
2025-06-26,4105.66
2025-06-27,4147.16
2025-06-28,3428.59
2025-06-29,3144.84
2025-06-30,4059.03
