TransactionLineId,TransactionId,ProductId,Category,Quantity,UnitPrice,NetAmount,DiscountPct,IsBundle
TL000000001,T00000001,P00152,Pesce,5,85.6,363.78,0.15,No
TL000000002,T00000001,P00005,Carni,7,88.43,526.16,0.15,No
TL000000003,T00000001,P00165,Dispensa,1,8.75,8.75,0.0,Yes
TL000000004,T00000001,P00042,Carni,5,54.24,271.2,0.0,No
TL000000005,T00000001,P00062,Vino,1,86.64,86.64,0.0,No
TL000000006,T00000001,P00252,Dispensa,6,87.92,448.4,0.15,No
TL000000007,T00000002,P00147,Pesce,2,97.21,165.26,0.15,No
TL000000008,T00000002,P00243,Bevande,6,71.0,404.71,0.05,No
TL000000009,T00000002,P00180,Pesce,4,64.43,206.17,0.2,No
TL000000010,T00000002,P00020,Bevande,4,1.72,5.84,0.15,Yes
TL000000011,T00000002,P00006,Dispensa,2,115.02,230.05,0.0,Yes
TL000000012,T00000002,P00081,Bevande,2,111.06,222.13,0.0,No
TL000000013,T00000003,P00055,Surgelati,6,6.72,38.29,0.05,No
TL000000014,T00000003,P00148,Dispensa,2,16.34,27.77,0.15,No
TL000000015,T00000003,P00080,Latticini,1,120.82,108.74,0.1,No
TL000000016,T00000003,P00010,Ortofrutta,2,77.34,154.69,0.0,No
TL000000017,T00000003,P00109,Vino,7,53.69,375.85,0.0,No
TL000000018,T00000003,P00103,Carni,4,107.97,410.28,0.05,No
TL000000019,T00000003,P00126,Bevande,5,93.45,467.25,0.0,No
TL000000020,T00000003,P00082,Dispensa,7,120.17,714.99,0.15,No
TL000000021,T00000004,P00020,Bevande,3,1.88,5.36,0.05,No
TL000000022,T00000004,P00208,Pesce,5,61.53,307.66,0.0,No
TL000000023,T00000005,P00188,Pesce,4,73.84,280.61,0.05,No
TL000000024,T00000005,P00030,Vino,5,30.93,154.64,0.0,No
TL000000025,T00000005,P00094,Latticini,2,92.87,185.74,0.0,No
TL000000026,T00000005,P00084,Surgelati,6,11.31,61.09,0.1,No
TL000000027,T00000005,P00195,Dispensa,5,8.31,41.54,0.0,No
TL000000028,T00000006,P00023,Ortofrutta,6,80.14,480.86,0.0,No
TL000000029,T00000006,P00182,Surgelati,6,49.52,297.14,0.0,No
TL000000030,T00000006,P00187,Vino,4,63.85,242.63,0.05,No
TL000000031,T00000006,P00226,Vino,6,12.07,68.8,0.05,No
TL000000032,T00000006,P00225,Dispensa,7,39.9,223.46,0.2,No
TL000000033,T00000006,P00249,Bevande,6,95.2,571.23,0.0,No
TL000000034,T00000006,P00181,Vino,7,57.9,324.22,0.2,No
TL000000035,T00000007,P00090,Vino,3,105.67,317.01,0.0,No
TL000000036,T00000007,P00109,Vino,5,55.72,264.67,0.05,No
TL000000037,T00000007,P00042,Carni,7,57.41,321.48,0.2,No
TL000000038,T00000007,P00235,Vino,6,100.45,602.72,0.0,Yes
TL000000039,T00000007,P00184,Ortofrutta,7,83.2,582.4,0.0,No
