TransactionId,TransactionDateTime,StoreId,ContactId,AnonymousShopperId,Amount,Date,PaymentMethod,BasketSize,IsPromo,Channel
T00000001,2025-04-13 20:00:00,ST022,CT001316,,1704.93,2025-04-13,Cash,6,No,InStore
T00000002,2025-11-03 08:00:00,ST018,CT001124,,1234.16,2025-11-03,Card,6,No,InStore
T00000003,2025-03-06 21:00:00,ST010,CT001200,,2297.86,2025-03-06,Card,8,No,InStore
T00000004,2025-03-13 08:00:00,ST001,CT001053,,313.02,2025-03-13,Card,2,Yes,InStore
T00000005,2025-10-16 01:00:00,ST008,,AN000655,723.62,2025-10-16,Card,5,Yes,Click&Collect
T00000006,2025-05-02 17:00:00,ST002,CT001194,,2208.34,2025-05-02,Card,7,No,InStore
T00000007,2025-06-02 05:00:00,ST016,CT000965,,2788.15,2025-06-02,Card,7,No,Online
T00000008,2025-09-08 19:00:00,ST011,CT000883,,513.26,2025-09-08,Cash,4,No,InStore
T00000009,2025-03-28 16:00:00,ST007,,AN000602,939.06,2025-03-28,Card,3,No,InStore
T00000010,2025-01-30 15:00:00,ST003,CT000330,,2080.47,2025-01-30,Card,7,No,InStore
T00000011,2025-08-19 15:00:00,ST021,,AN000791,1735.72,2025-08-19,Card,5,No,InStore
T00000012,2025-07-27 08:00:00,ST022,CT000161,,1994.06,2025-07-27,Card,6,Yes,InStore
T00000013,2025-05-12 21:00:00,ST003,CT001455,,141.29,2025-05-12,Card,1,No,InStore
T00000014,2025-10-07 22:00:00,ST022,,AN000687,59.88,2025-10-07,Cash,2,No,InStore
T00000015,2026-02-07 05:00:00,ST012,CT001480,,146.39,2026-02-07,Card,3,Yes,Online
T00000016,2025-05-09 11:00:00,ST014,CT000551,,1609.74,2025-05-09,Card,7,Yes,InStore
T00000017,2026-01-21 13:00:00,ST020,CT000480,,1155.16,2026-01-21,Cash,6,No,InStore
T00000018,2025-11-14 06:00:00,ST021,,AN000608,1705.5,2025-11-14,Card,7,No,InStore
T00000019,2025-05-15 18:00:00,ST006,CT000170,,234.87,2025-05-15,Invoice,1,No,Online
T00000020,2025-12-12 15:00:00,ST014,,AN000351,303.51,2025-12-12,Card,3,Yes,InStore
T00000021,2025-07-28 10:00:00,ST020,CT001023,,1342.09,2025-07-28,Card,4,No,InStore
T00000022,2025-02-01 10:00:00,ST012,,AN000174,54.62,2025-02-01,Cash,1,No,InStore
T00000023,2025-08-21 08:00:00,ST006,CT000693,,492.01,2025-08-21,Cash,3,No,InStore
T00000024,2025-05-05 12:00:00,ST015,CT000730,,1382.82,2025-05-05,Card,6,No,Click&Collect
T00000025,2025-05-09 22:00:00,ST012,CT001176,,586.22,2025-05-09,Cash,3,No,InStore
T00000026,2025-09-01 20:00:00,ST004,,AN000676,1493.93,2025-09-01,Card,8,Yes,InStore
T00000027,2025-05-18 04:00:00,ST020,CT001015,,622.77,2025-05-18,Card,1,No,InStore
T00000028,2025-03-17 16:00:00,ST019,,AN000846,1619.19,2025-03-17,Invoice,5,No,InStore
T00000029,2025-05-11 12:00:00,ST001,CT001455,,589.63,2025-05-11,Cash,2,No,InStore
T00000030,2025-03-26 20:00:00,ST004,CT000225,,859.67,2025-03-26,Invoice,7,No,InStore
T00000031,2025-07-01 14:00:00,ST009,CT000605,,782.43,2025-07-01,Card,3,No,InStore
T00000032,2025-11-27 10:00:00,ST002,,AN000686,464.18,2025-11-27,Invoice,3,No,InStore
T00000033,2026-01-22 16:00:00,ST006,CT001174,,22.63,2026-01-22,Card,1,No,InStore
T00000034,2025-08-15 22:00:00,ST005,CT001434,,267.11,2025-08-15,Invoice,5,Yes,InStore
T00000035,2025-11-18 10:00:00,ST021,,AN000135,1500.4,2025-11-18,Card,7,Yes,InStore
T00000036,2025-03-31 21:00:00,ST015,CT001142,,64.07,2025-03-31,Card,2,No,InStore
T00000037,2025-03-29 06:00:00,ST020,,AN000646,1418.69,2025-03-29,Card,7,Yes,InStore
T00000038,2025-07-09 22:00:00,ST022,,AN000525,99.35,2025-07-09,Cash,1,No,InStore
T00000039,2025-09-23 20:00:00,ST002,,AN000101,1476.96,2025-09-23,Card,6,Yes,InStore
T00000040,2025-01-16 05:00:00,ST006,CT000012,,1457.32,2025-01-16,Card,6,Yes,InStore
T00000041,2025-03-08 09:00:00,ST012,CT001152,,1074.24,2025-03-08,Card,5,Yes,InStore
T00000042,2025-11-13 00:00:00,ST020,,AN000548,2003.33,2025-11-13,Card,8,No,InStore
T00000043,2025-02-15 00:00:00,ST003,CT001217,,1256.19,2025-02-15,Card,6,No,InStore
T00000044,2025-05-10 02:00:00,ST012,CT001321,,149.95,2025-05-10,Cash,1,No,InStore
T00000045,2025-06-17 23:00:00,ST010,CT000824,,945.11,2025-06-17,Cash,7,Yes,InStore
T00000046,2025-04-17 06:00:00,ST018,,AN000333,192.58,2025-04-17,Card,1,Yes,InStore
T00000047,2025-10-28 13:00:00,ST014,CT000381,,1035.78,2025-10-28,Cash,6,No,Click&Collect
T00000048,2025-07-09 21:00:00,ST018,CT000870,,125.63,2025-07-09,Card,1,No,InStore
T00000049,2025-12-08 09:00:00,ST015,CT001364,,1020.67,2025-12-08,Card,7,No,InStore
T00000050,2025-07-31 09:00:00,ST016,CT001088,,235.0,2025-07-31,Card,2,Yes,InStore
T00000051,2026-02-05 21:00:00,ST021,CT000359,,789.09,2026-02-05,Card,3,No,Click&Collect
T00000052,2025-01-02 08:00:00,ST017,CT000545,,352.08,2025-01-02,Card,2,No,InStore
T00000053,2026-01-29 20:00:00,ST021,CT001345,,629.76,2026-01-29,Card,3,Yes,InStore
T00000054,2025-04-13 21:00:00,ST009,,AN000193,820.15,2025-04-13,Card,2,No,InStore
T00000055,2025-04-27 03:00:00,ST008,CT000599,,1061.64,2025-04-27,Cash,3,No,InStore
T00000056,2025-06-07 23:00:00,ST005,CT000978,,1218.21,2025-06-07,Invoice,5,No,InStore
T00000057,2025-01-30 09:00:00,ST013,,AN000193,1623.75,2025-01-30,Invoice,5,No,InStore
T00000058,2025-09-18 13:00:00,ST014,CT001349,,809.53,2025-09-18,Card,7,No,InStore
T00000059,2025-03-21 01:00:00,ST012,CT001221,,1588.5,2025-03-21,Invoice,4,Yes,InStore
T00000060,2025-09-23 08:00:00,ST010,,AN000141,278.24,2025-09-23,Card,3,No,InStore
T00000061,2025-02-13 21:00:00,ST022,CT000205,,374.94,2025-02-13,Invoice,2,No,InStore
T00000062,2025-09-09 13:00:00,ST019,CT000291,,1911.25,2025-09-09,Invoice,7,No,InStore
T00000063,2025-06-23 01:00:00,ST004,CT000841,,505.52,2025-06-23,Card,3,No,Click&Collect
T00000064,2025-08-26 22:00:00,ST019,CT000159,,593.58,2025-08-26,Invoice,2,No,InStore
T00000065,2026-01-08 12:00:00,ST021,,AN000405,727.01,2026-01-08,Card,5,Yes,InStore
T00000066,2026-02-10 23:00:00,ST005,CT001315,,59.76,2026-02-10,Invoice,1,No,InStore
T00000067,2025-08-07 07:00:00,ST015,CT000540,,79.83,2025-08-07,Cash,1,Yes,InStore
T00000068,2025-08-01 17:00:00,ST008,,AN000062,592.02,2025-08-01,Card,2,No,InStore
T00000069,2025-06-07 10:00:00,ST007,CT000931,,498.26,2025-06-07,Cash,1,Yes,InStore
T00000070,2025-11-03 18:00:00,ST008,CT000623,,808.35,2025-11-03,Invoice,8,No,InStore
T00000071,2025-06-30 04:00:00,ST021,CT001312,,347.28,2025-06-30,Invoice,2,No,InStore
T00000072,2025-03-08 07:00:00,ST008,CT001235,,874.55,2025-03-08,Card,4,No,InStore
T00000073,2025-07-21 09:00:00,ST017,CT000471,,1882.32,2025-07-21,Cash,5,No,InStore
T00000074,2025-07-13 19:00:00,ST015,,AN000426,727.03,2025-07-13,Card,2,No,InStore
T00000075,2025-10-08 17:00:00,ST018,CT000279,,1095.08,2025-10-08,Card,6,Yes,InStore
T00000076,2026-01-21 03:00:00,ST021,CT000006,,561.43,2026-01-21,Card,2,No,InStore
T00000077,2025-03-13 09:00:00,ST010,,AN000491,572.56,2025-03-13,Cash,8,No,InStore
T00000078,2025-11-23 00:00:00,ST008,CT001215,,1475.31,2025-11-23,Card,7,Yes,InStore
T00000079,2025-04-21 14:00:00,ST007,,AN000879,239.79,2025-04-21,Invoice,2,No,InStore
T00000080,2025-10-10 16:00:00,ST003,,AN000736,1641.05,2025-10-10,Cash,7,No,InStore
T00000081,2025-10-16 15:00:00,ST013,CT001020,,235.96,2025-10-16,Card,3,No,InStore
T00000082,2025-02-02 07:00:00,ST019,CT001043,,2620.53,2025-02-02,Card,7,No,InStore
T00000083,2025-04-01 03:00:00,ST014,CT000659,,1641.17,2025-04-01,Card,7,Yes,InStore
T00000084,2025-08-27 03:00:00,ST004,CT000134,,1507.36,2025-08-27,Card,7,No,InStore
T00000085,2025-06-22 11:00:00,ST017,CT000981,,1199.31,2025-06-22,Cash,6,No,InStore
T00000086,2025-07-16 04:00:00,ST009,CT000027,,213.53,2025-07-16,Card,2,No,InStore
T00000087,2025-10-10 13:00:00,ST004,,AN000509,1182.2,2025-10-10,Card,3,No,InStore
T00000088,2025-04-13 17:00:00,ST002,CT000523,,2000.05,2025-04-13,Invoice,7,No,InStore
T00000089,2025-07-25 22:00:00,ST001,,AN000887,355.8,2025-07-25,Invoice,3,No,InStore
T00000090,2025-10-07 21:00:00,ST012,,AN000629,116.91,2025-10-07,Card,1,No,InStore
T00000091,2025-03-24 04:00:00,ST005,CT000051,,1533.47,2025-03-24,Invoice,7,No,InStore
T00000092,2025-05-04 20:00:00,ST013,,AN000409,596.13,2025-05-04,Card,5,No,InStore
T00000093,2025-08-30 08:00:00,ST001,CT000725,,1163.39,2025-08-30,Card,4,No,InStore
T00000094,2025-05-09 07:00:00,ST011,CT000429,,1509.22,2025-05-09,Card,6,No,InStore
T00000095,2025-10-23 21:00:00,ST020,CT000234,,1598.88,2025-10-23,Card,8,No,InStore
T00000096,2025-11-11 13:00:00,ST001,CT000076,,1344.26,2025-11-11,Card,8,No,Online
T00000097,2025-09-02 18:00:00,ST002,CT000021,,907.64,2025-09-02,Card,4,No,InStore
T00000098,2025-01-13 03:00:00,ST004,,AN000670,1190.43,2025-01-13,Cash,4,Yes,InStore
T00000099,2025-01-24 15:00:00,ST014,CT001068,,1452.85,2025-01-24,Card,5,No,InStore
T00000100,2025-04-23 18:00:00,ST014,CT000783,,682.58,2025-04-23,Card,5,No,InStore
T00000101,2025-12-06 04:00:00,ST003,CT000961,,1548.47,2025-12-06,Card,8,Yes,InStore
T00000102,2026-01-27 20:00:00,ST015,CT000948,,1638.29,2026-01-27,Card,6,No,InStore
T00000103,2025-10-18 13:00:00,ST021,,AN000651,228.53,2025-10-18,Card,1,No,InStore
T00000104,2025-08-09 10:00:00,ST006,,AN000523,1362.48,2025-08-09,Card,4,No,InStore
T00000105,2025-10-31 23:00:00,ST021,CT000743,,1654.2,2025-10-31,Card,6,Yes,InStore
T00000106,2025-10-27 02:00:00,ST009,CT001135,,196.63,2025-10-27,Cash,1,No,InStore
T00000107,2025-03-15 20:00:00,ST008,CT000895,,264.44,2025-03-15,Card,1,No,InStore
T00000108,2025-01-07 02:00:00,ST011,CT001275,,1328.51,2025-01-07,Invoice,7,Yes,InStore
T00000109,2025-04-18 21:00:00,ST014,,AN000265,938.07,2025-04-18,Card,3,Yes,InStore
T00000110,2025-10-11 09:00:00,ST017,CT000383,,947.9,2025-10-11,Card,3,No,InStore
T00000111,2026-01-27 02:00:00,ST014,,AN000442,929.73,2026-01-27,Card,3,Yes,InStore
T00000112,2025-12-24 20:00:00,ST001,,AN000513,1120.95,2025-12-24,Card,3,No,InStore
T00000113,2025-04-15 10:00:00,ST002,CT001311,,1397.88,2025-04-15,Invoice,4,No,InStore
T00000114,2025-08-17 13:00:00,ST018,CT001352,,996.3,2025-08-17,Card,4,No,InStore
T00000115,2025-12-11 09:00:00,ST019,CT001112,,422.62,2025-12-11,Card,5,No,InStore
T00000116,2026-02-12 16:00:00,ST021,,AN000660,1176.87,2026-02-12,Card,5,No,Online
T00000117,2025-11-24 03:00:00,ST015,CT001422,,1257.51,2025-11-24,Card,7,Yes,InStore
T00000118,2025-06-23 01:00:00,ST011,CT001446,,518.99,2025-06-23,Cash,2,No,InStore
T00000119,2025-07-26 17:00:00,ST002,,AN000247,8.82,2025-07-26,Card,1,No,InStore
T00000120,2025-07-02 02:00:00,ST004,CT000362,,820.02,2025-07-02,Invoice,3,Yes,InStore
T00000121,2025-11-03 02:00:00,ST001,CT001245,,804.78,2025-11-03,Card,4,Yes,InStore
T00000122,2025-08-19 09:00:00,ST018,CT001323,,516.62,2025-08-19,Cash,3,No,Online
T00000123,2025-03-02 01:00:00,ST005,CT000821,,1040.05,2025-03-02,Cash,5,Yes,InStore
T00000124,2025-12-28 08:00:00,ST016,CT001042,,978.13,2025-12-28,Card,4,Yes,InStore
T00000125,2025-10-13 11:00:00,ST006,CT000484,,853.35,2025-10-13,Card,3,No,InStore
